GPU,CPU,Difficulty,-r,k,C,OS,Giga Version,(Plot filter = 256),User,Information
RTX 3080 Ti,2X E5-2696v2,"100,000",8,32,31,Windows Server 2019,2.1.4.giga30,0.451,iJey,Supermicro X9DR3-LNF4+  || PL80-C+200-280W-0.44
RTX 3080 Ti,2X E5-2696v2,"800,000",8,32,31,Windows Server 2019,2.1.4.giga30,0.460,iJey,Supermicro X9DR3-LNF4+
2 x RTX 6000 Ada,TR Pro 5975WX,"20,000",16,32,30,Ubuntu 22.04,2.1.4.giga31,2.160,iQuit,Dell Precision T7865
2 x RTX 6000 Ada,TR Pro 5975WX,"800,000",16,32,30,Ubuntu 22.04,2.1.4.giga31,2.340,iQuit,Dell Precision T7865
2 x RTX 6000 Ada,TR Pro 5975WX,"50,000",16,32,31,Ubuntu 22.04,2.1.4.giga31,1.139,iQuit,Dell Precision T7865
2 x RTX 6000 Ada,TR Pro 5975WX,"800,000",16,32,31,Ubuntu 22.04,2.1.4.giga31,1.142,iQuit,Dell Precision T7865
2 x RTX 6000 Ada,TR Pro 5975WX,"200,000",16,32,33,Ubuntu 22.04,2.1.4.giga31,0.230,iQuit,Dell Precision T7865
2 x RTX 6000 Ada,TR Pro 5975WX,"800,000",16,32,33,Ubuntu 22.04,2.1.4.giga31,0.237,iQuit,Dell Precision T7865
RTX 3080,5950x,"800,000",8,32,30,Xubuntu 23.10,2.1.4.giga31,0.780,zivester,FE 10GB
RTX 3080,5950x,"800,000",8,32,31,Xubuntu 23.10,2.1.4.giga31,0.428,zivester,FE 10GB
2 x RTX 4070 S,Xeon Gold 6240,"500,000",8,32,30,Xubuntu 23.10,2.1.4.giga31,1.510,zivester,FE 12GB
2 x RTX 4070 S,Xeon Gold 6240,"500,000",8,32,31,Xubuntu 23.10,2.1.4.giga31,0.853,zivester,FE 12GB
RTX 3060,E5 1620v3,"20,000",8,32,30,Ubuntu 22.04,2.1.4.giga31,0.341,kenny,PCIe 3 170W
RTX 3060,E5 1620v3,"800,000",8,32,30,Ubuntu 22.04,2.1.4.giga31,0.352,kenny,PCIe 3 170W
RTX 3090,Ryzen 5900X,"20,000",8,32,31,Windows 11 Pro 22H2,2.1.4.giga30,0.457,CS,PCIe 4
RTX 3090,Ryzen 5900X,"50,000",8,32,31,Windows 11 Pro 22H2,2.1.4.giga30,0.484,CS,PCIe 4
RTX 2080 Ti,Ryzen TR-1920X,1000,8,32,30,Endeavour Linux 6.7.4,2.1.4.giga30,0.311,leslieC,
RTX 2080 Ti,Ryzen TR-1920X,5000,8,32,30,Endeavour Linux 6.7.4,2.1.4.giga30,0.406,leslieC,
RTX 2080 Ti,Ryzen TR-1920X,20000,8,32,30,Endeavour Linux 6.7.4,2.1.4.giga30,0.448,leslieC,
RTX 2080 Ti,Ryzen TR-1920X,50000,8,32,30,Endeavour Linux 6.7.4,2.1.4.giga30,0.455,leslieC,
RTX 3090,Ryzen TR-1920X,20000,8,32,30,Endeavour Linux 6.7.4,2.1.4.giga30,0.885,leslieC,
RTX 3090,Ryzen TR-1920X,50000,8,32,30,Endeavour Linux 6.7.4,2.1.4.giga30,0.907,leslieC,
RTX 4080,Ryzen 5900X,10000,8,32,30,Ubuntu 22.04,2.1.4.giga31,1.000,teslak,pl=320W (max)
RTX 4080,Ryzen 5900X,20000,8,32,30,Ubuntu 22.04,2.1.4.giga31,1.050,teslak,pl=320W (max)
RTX 4080,Ryzen 5900X,800000,8,32,30,Ubuntu 22.04,2.1.4.giga31,1.080,teslak,pl=320W (max)
RTX 4080,Ryzen 5900X,10000,8,32,31,Ubuntu 22.04,2.1.4.giga31,0.534,teslak,pl=320W (max)
RTX 4080,Ryzen 5900X,20000,8,32,31,Ubuntu 22.04,2.1.4.giga31,0.562,teslak,pl=320W (max)
RTX 4080,Ryzen 5900X,800000,8,32,31,Ubuntu 22.04,2.1.4.giga31,0.595,teslak,pl=320W (max)
RTX 4080,Ryzen 5900X,10000,8,32,30,Ubuntu 22.04,2.1.4.giga31,0.810,teslak,pl=200W
RTX 4080,Ryzen 5900X,20000,8,32,30,Ubuntu 22.04,2.1.4.giga31,0.845,teslak,pl=200W
RTX 4080,Ryzen 5900X,800000,8,32,30,Ubuntu 22.04,2.1.4.giga31,0.857,teslak,pl=200W
RTX 4080,Ryzen 5900X,10000,8,32,31,Ubuntu 22.04,2.1.4.giga31,0.420,teslak,pl=200W
RTX 4080,Ryzen 5900X,20000,8,32,31,Ubuntu 22.04,2.1.4.giga31,0.450,teslak,pl=200W
RTX 4080,Ryzen 5900X,800000,8,32,31,Ubuntu 22.04,2.1.4.giga31,0.467,teslak,pl=200W
RTX 3070,Ryzen 5950X,10000,8,32,30,Ubuntu 22.04,2.1.4.giga31,0.542,ganbin,PCIe 4 pl=270W (max)
RTX 3070,Ryzen 5950X,20000,8,32,30,Ubuntu 22.04,2.1.4.giga31,0.559,ganbin,PCIe 4 pl=270W (max)
RTX 4070 Super,Ryzen 4500,50000,8,32,31,Ubuntu 22.04,2.1.4.giga31,0.413,updog,ASUS 4070 Super Overclocked
RTX 3060Ti,i9-7980XE,500,8,32,31,Ubuntu 22.04,2.1.4giga30,0.129,eaglerati,PCIe 3
Tesla P4 x2,E5-2637v3,20000,8,32,30,Ubuntu 22.04 Server,2.1.4.giga31,0.207,4DoorGTZ,PCIe 3
Tesla P4,E5-2637v3,50000,8,32,30,Ubuntu 22.04 Server,2.1.4.giga31,0.105,4DoorGTZ,PCIe 3
Tesla P4 x2,E5-2637v3,50000,8,32,30,Ubuntu 22.04 Server,2.1.4.giga31,0.211,4DoorGTZ,PCIe 3
Tesla P4,E5-2637v3,50000,8,32,31,Ubuntu 22.04 Server,2.1.4.giga31,0.065,4DoorGTZ,PCIe 3
RTX 3060ti,E5-2637v3,50000,8,32,30,Ubuntu 22.04 Server,2.1.4.giga31,0.450,4DoorGTZ,PCIe 3
RTX 3060ti,E5-2637v3,50000,8,32,31,Ubuntu 22.04 Server,2.1.4.giga31,0.246,4DoorGTZ,PCIe 3
RTX 3060ti+P4+P4,E5-2637v3,50000,2,32,30,Ubuntu 22.04 Server,2.1.4.giga31,0.465,4DoorGTZ,PCIe 3
RTX 3060ti+P4+P4,E5-2637v3,50000,4,32,30,Ubuntu 22.04 Server,2.1.4.giga31,0.627,4DoorGTZ,PCIe 3
RTX 3060ti+P4+P4,E5-2637v3,50000,8,32,30,Ubuntu 22.04 Server,2.1.4.giga31,0.656,4DoorGTZ,PCIe 3
RTX 3060ti+P4+P4,E5-2637v3,50000,16,32,30,Ubuntu 22.04 Server,2.1.4.giga31,0.657,4DoorGTZ,PCIe 3
RTX 3060ti+P4+P4,E5-2637v3,50000,16,32,31,Ubuntu 22.04 Server,2.1.4.giga31,0.368,4DoorGTZ,PCIe 3
RTX 4060,Ryzen 5700G,50000,8,32,31,W11 Pro 22H2,2.1.4.giga31,0.199,4DoorGTZ,PCIe 3 x8 Gigabyte Low Profile 4060 in HTPC
RTX 4060,Ryzen 5 3600X,10000,8,32,30,Ubuntu 22.04,2.1.4.giga30,0.350,gentoo,
RTX 4060,Ryzen 5 3600X,20000,8,32,30,Ubuntu 22.04,2.1.4.giga30,0.362,gentoo,
RTX 4060,Ryzen 5 3600X,20000,8,32,31,Ubuntu 22.04,2.1.4.giga30,0.196,gentoo,
RTX 4060,Ryzen 5 3600X,50000,8,32,31,Ubuntu 22.04,2.1.4.giga30,0.203,gentoo,
RTX 4060 Ti,Ryzen 5 3600X,10000,8,32,30,Ubuntu 22.04,2.1.4.giga30,0.437,gentoo,
RTX 4060 Ti,Ryzen 5 3600X,20000,8,32,31,Ubuntu 22.04,2.1.4.giga30,0.245,gentoo,
RTX 4060 Ti,Ryzen 5 3600X,50000,8,32,31,Ubuntu 22.04,2.1.4.giga30,0.254,gentoo,
RTX 4070 Super,E5-2650v4,500,8,32,30,Ubuntu 22.04,2.1.4.giga31,0.442,MoMoneyThanSense,
RTX 3070 Ti,E5-2690v2,20000,8,32,30,Windows 10,2.1.4.giga31,0.600,Jpr3st,Power limit 290W
RTX 3070 Ti,E5-2690v2,20000,8,32,30,Windows 10,2.1.4.giga31,0.582,Jpr3st,Power limit 232W
RTX 3070 Ti,E5-2690v2,20000,8,32,30,Windows 10,2.1.4.giga31,0.412,Jpr3st,Power limit 145W
RTX 3060 Ti,2 x E5-2670 v2,50000,16,32,31,Windows 10,2.1.4 giga31,0.253,XxViper06xX,Power limit 200W
RTX 3060,Ryzen 5600x,20000,8,32,30,Win 10,2.1.4.giga30,0.350,miguell,
,,,,32,,,,,,
Tesla P4,2 x E5-2650L v2,100,8,32,30,Ubuntu,2.1.4.giga30,0.55,AllanMusk,
7 x Tesla P4,2 x E5-2650L v2,100,8,32,30,Ubuntu,2.1.4.giga30,,AllanMusk,Recompute server
RTX 3060,2 x E5-2670 v2,100,8,32,30,Ubuntu,2.1.4.giga30,0.178,AllanMusk,
2 x RTX 3060,2 x E5-2670 v2,100,8,32,30,Ubuntu,2.1.4.giga30,0.354,AllanMusk,
2 x RTX 3060,2 x E5-2670 v2,10000,8,32,30,Ubuntu,2.1.4.giga30,0.651,AllanMusk,
2 x RTX 3060,2 x E5-2670 v2,20000,8,32,30,Ubuntu,2.1.4.giga30,0.669,AllanMusk,
2 x RTX 3060,2 x E5-2670 v2,50000,8,32,30,Ubuntu,2.1.4.giga30,0.691,AllanMusk,
RTX 3080,Ryzen 5950x,100,8,32,30,Win 11,2.1.4.giga30,0.401,AllanMusk,
RTX 3080,Ryzen 5950x,10000,8,32,30,Win 11,2.1.4.giga30,0.733,AllanMusk,
RTX 3080,Ryzen 5950x,20000,8,32,30,Win 11,2.1.4.giga30,0.759,AllanMusk,
RTX 3080,Ryzen 5950x,50000,8,32,30,Win 11,2.1.4.giga30,0.762,AllanMusk,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
